tokenizer_name,token_id,token_value,raw_token,token_length,decoded_length,category,languages
olmocode,786,                                ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,32,32,whitespace,none
olmocode,1408,--------------------------------,--------------------------------,32,32,symbols,none
olmocode,1689,********************************,********************************,32,32,symbols,none
olmocode,1920,                                   ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,35,35,whitespace,none
olmocode,2559,                                       ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,39,39,whitespace,none
olmocode,3058,================================,================================,32,32,symbols,none
olmocode,3344,                                           ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,43,43,whitespace,none
olmocode,3513,----------------------------------------------------------------,----------------------------------------------------------------,64,64,symbols,none
olmocode,3898,////////////////////////////////,////////////////////////////////,32,32,symbols,none
olmocode,4077,****************************************************************,****************************************************************,64,64,symbols,none
olmocode,4569,                                               ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,47,47,whitespace,none
olmocode,5026,##############################,################################,32,30,symbols,none
olmocode,5238,                                                                ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,64,64,whitespace,none
olmocode,5596,************************************************************************,************************************************************************,72,72,symbols,none
olmocode,6374,                                                   ,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,51,51,whitespace,none
