vocab_id,token,token_repr,origin_tokenizer,token_type,merge_parts,rrf_score
0,<|begin_of_text|>,'<|begin_of_text|>',unknown,base,,0
1,<|end_of_text|>,'<|end_of_text|>',unknown,base,,0
2,<|chunk_sep|>,'<|chunk_sep|>',unknown,base,,0
3,<|pad|>,'<|pad|>',unknown,base,,0
4,<|unk|>,'<|unk|>',unknown,base,,0
5,<|bos|>,'<|bos|>',unknown,base,,0
6,<|eos|>,'<|eos|>',unknown,base,,0
7,<|reserved_7|>,'<|reserved_7|>',unknown,base,,0
8,<|reserved_8|>,'<|reserved_8|>',unknown,base,,0
9,<|reserved_9|>,'<|reserved_9|>',unknown,base,,0
10,<|system|>,'<|system|>',unknown,base,,0
11,<|user|>,'<|user|>',unknown,base,,0
12,<|assistant|>,'<|assistant|>',unknown,base,,0
13,<|tool|>,'<|tool|>',unknown,base,,0
14,<|reserved_14|>,'<|reserved_14|>',unknown,base,,0
15,<|reserved_15|>,'<|reserved_15|>',unknown,base,,0
16,<|reserved_16|>,'<|reserved_16|>',unknown,base,,0
17,<|reserved_17|>,'<|reserved_17|>',unknown,base,,0
18,<|reserved_18|>,'<|reserved_18|>',unknown,base,,0
19,<|reserved_19|>,'<|reserved_19|>',unknown,base,,0
20,<|code_begin|>,'<|code_begin|>',unknown,base,,0
21,<|code_end|>,'<|code_end|>',unknown,base,,0
22,<|reserved_22|>,'<|reserved_22|>',unknown,base,,0
23,<|reserved_23|>,'<|reserved_23|>',unknown,base,,0
24,<|reserved_24|>,'<|reserved_24|>',unknown,base,,0
25,<|reserved_25|>,'<|reserved_25|>',unknown,base,,0
26,<|reserved_26|>,'<|reserved_26|>',unknown,base,,0
27,<|reserved_27|>,'<|reserved_27|>',unknown,base,,0
28,<|reserved_28|>,'<|reserved_28|>',unknown,base,,0
29,<|reserved_29|>,'<|reserved_29|>',unknown,base,,0
30,<|lang:python|>,'<|lang:python|>',unknown,base,,0
31,<|lang:javascript|>,'<|lang:javascript|>',unknown,base,,0
32,<|lang:typescript|>,'<|lang:typescript|>',unknown,base,,0
33,<|lang:java|>,'<|lang:java|>',unknown,base,,0
34,<|lang:c|>,'<|lang:c|>',unknown,base,,0
35,<|lang:cpp|>,'<|lang:cpp|>',unknown,base,,0
36,<|lang:csharp|>,'<|lang:csharp|>',unknown,base,,0
37,<|lang:go|>,'<|lang:go|>',unknown,base,,0
38,<|lang:rust|>,'<|lang:rust|>',unknown,base,,0
39,<|lang:ruby|>,'<|lang:ruby|>',unknown,base,,0
40,<|lang:php|>,'<|lang:php|>',unknown,base,,0
41,<|lang:swift|>,'<|lang:swift|>',unknown,base,,0
42,<|lang:kotlin|>,'<|lang:kotlin|>',unknown,base,,0
43,<|lang:scala|>,'<|lang:scala|>',unknown,base,,0
44,<|lang:r|>,'<|lang:r|>',unknown,base,,0
45,<|lang:sql|>,'<|lang:sql|>',unknown,base,,0
46,<|lang:html|>,'<|lang:html|>',unknown,base,,0
47,<|lang:css|>,'<|lang:css|>',unknown,base,,0
48,<|lang:bash|>,'<|lang:bash|>',unknown,base,,0
49,<|lang:shell|>,'<|lang:shell|>',unknown,base,,0
50,<|json_begin|>,'<|json_begin|>',unknown,base,,0
51,<|json_end|>,'<|json_end|>',unknown,base,,0
52,<|tool_call|>,'<|tool_call|>',unknown,base,,0
53,<|tool_result|>,'<|tool_result|>',unknown,base,,0
54,<|reserved_54|>,'<|reserved_54|>',unknown,base,,0
55,<|reserved_55|>,'<|reserved_55|>',unknown,base,,0
56,<|reserved_56|>,'<|reserved_56|>',unknown,base,,0
57,<|reserved_57|>,'<|reserved_57|>',unknown,base,,0
58,<|reserved_58|>,'<|reserved_58|>',unknown,base,,0
59,<|reserved_59|>,'<|reserved_59|>',unknown,base,,0
60,<|source:wikipedia|>,'<|source:wikipedia|>',unknown,base,,0
61,<|source:github|>,'<|source:github|>',unknown,base,,0
62,<|source:web|>,'<|source:web|>',unknown,base,,0
63,<|source:books|>,'<|source:books|>',unknown,base,,0
64,<|source:arxiv|>,'<|source:arxiv|>',unknown,base,,0
65,<|source:stackexchange|>,'<|source:stackexchange|>',unknown,base,,0
66,<|reserved_66|>,'<|reserved_66|>',unknown,base,,0
67,<|reserved_67|>,'<|reserved_67|>',unknown,base,,0
68,<|reserved_68|>,'<|reserved_68|>',unknown,base,,0
69,<|reserved_69|>,'<|reserved_69|>',unknown,base,,0
70,<|think_begin|>,'<|think_begin|>',unknown,base,,0
71,<|think_end|>,'<|think_end|>',unknown,base,,0
72,<|reason_begin|>,'<|reason_begin|>',unknown,base,,0
73,<|reason_end|>,'<|reason_end|>',unknown,base,,0
74,<|reserved_74|>,'<|reserved_74|>',unknown,base,,0
75,<|reserved_75|>,'<|reserved_75|>',unknown,base,,0
76,<|reserved_76|>,'<|reserved_76|>',unknown,base,,0
77,<|reserved_77|>,'<|reserved_77|>',unknown,base,,0
78,<|reserved_78|>,'<|reserved_78|>',unknown,base,,0
79,<|reserved_79|>,'<|reserved_79|>',unknown,base,,0
80,<|markdown|>,'<|markdown|>',unknown,base,,0
81,<|latex|>,'<|latex|>',unknown,base,,0
82,<|table|>,'<|table|>',unknown,base,,0
83,<|list|>,'<|list|>',unknown,base,,0
84,<|reserved_84|>,'<|reserved_84|>',unknown,base,,0
85,<|reserved_85|>,'<|reserved_85|>',unknown,base,,0
86,<|reserved_86|>,'<|reserved_86|>',unknown,base,,0
87,<|reserved_87|>,'<|reserved_87|>',unknown,base,,0
88,<|reserved_88|>,'<|reserved_88|>',unknown,base,,0
89,<|reserved_89|>,'<|reserved_89|>',unknown,base,,0
90,<|reserved_90|>,'<|reserved_90|>',unknown,base,,0
91,<|reserved_91|>,'<|reserved_91|>',unknown,base,,0
92,<|reserved_92|>,'<|reserved_92|>',unknown,base,,0
93,<|reserved_93|>,'<|reserved_93|>',unknown,base,,0
94,<|reserved_94|>,'<|reserved_94|>',unknown,base,,0
95,<|reserved_95|>,'<|reserved_95|>',unknown,base,,0
96,<|reserved_96|>,'<|reserved_96|>',unknown,base,,0
97,<|reserved_97|>,'<|reserved_97|>',unknown,base,,0
98,<|reserved_98|>,'<|reserved_98|>',unknown,base,,0
99,<|reserved_99|>,'<|reserved_99|>',unknown,base,,0
100,<|reserved_100|>,'<|reserved_100|>',unknown,base,,0
101,<|reserved_101|>,'<|reserved_101|>',unknown,base,,0
102,<|reserved_102|>,'<|reserved_102|>',unknown,base,,0
103,<|reserved_103|>,'<|reserved_103|>',unknown,base,,0
104,<|reserved_104|>,'<|reserved_104|>',unknown,base,,0
105,<|reserved_105|>,'<|reserved_105|>',unknown,base,,0
106,<|reserved_106|>,'<|reserved_106|>',unknown,base,,0
107,<|reserved_107|>,'<|reserved_107|>',unknown,base,,0
108,<|reserved_108|>,'<|reserved_108|>',unknown,base,,0
109,<|reserved_109|>,'<|reserved_109|>',unknown,base,,0
110,<|reserved_110|>,'<|reserved_110|>',unknown,base,,0
111,<|reserved_111|>,'<|reserved_111|>',unknown,base,,0
112,<|reserved_112|>,'<|reserved_112|>',unknown,base,,0
113,<|reserved_113|>,'<|reserved_113|>',unknown,base,,0
114,<|reserved_114|>,'<|reserved_114|>',unknown,base,,0
115,<|reserved_115|>,'<|reserved_115|>',unknown,base,,0
116,<|reserved_116|>,'<|reserved_116|>',unknown,base,,0
117,<|reserved_117|>,'<|reserved_117|>',unknown,base,,0
118,<|reserved_118|>,'<|reserved_118|>',unknown,base,,0
